fecha,tienda,producto,precio_unitario,cantidad
2025-03-01,Nelson LLC,Accesorio,1750.73,4
2025-05-05,Taylor and Sons,Móvil,439.17,4
2024-10-31,Mccarthy Inc,Tablet,645.12,2
2024-11-11,Daniels-Perry,Móvil,96.15,2
2024-08-27,Price-Carrillo,Accesorio,690.11,1
2025-05-25,Gates PLC,Tablet,734.73,5
2024-10-30,Bender LLC,Accesorio,1375.06,5
2025-03-15,Medina-Navarro,Tablet,1881.51,1
2025-04-01,Freeman LLC,Tablet,398.21,3
2024-11-19,Price Ltd,Portátil,261.38,4
2025-02-16,Ramsey-Pittman,Tablet,1470.66,3
2025-05-15,"Ferguson, Meadows and Vargas",Accesorio,1232.11,5
2025-02-10,Day and Sons,Portátil,801.13,5
2025-04-26,Williams Group,Móvil,546.71,4
2024-10-10,Murphy-Juarez,Portátil,1063.84,5
2024-10-29,King-Miller,Móvil,760.23,1
2024-06-20,"Williams, Crane and Walker",Tablet,1265.15,1
2024-07-08,"Williams, Johnson and Wright",Tablet,1038.89,4
2025-04-16,"Hernandez, Martinez and Caldwell",Tablet,834.68,3
2025-01-05,Marshall LLC,Móvil,424.09,4
2025-03-20,Obrien Ltd,Móvil,1250.25,3
2025-03-02,Oconnell Inc,Accesorio,1118.48,1
2025-01-10,Johnston-Odonnell,Tablet,609.48,4
2024-10-28,"Gonzalez, Vargas and Rivas",Tablet,956.73,4
2024-09-09,"Barton, Jefferson and Burke",Móvil,1046.79,2
2024-07-27,"Patton, Reed and Patterson",Portátil,603.38,5
2024-10-26,"Holland, Smith and Fisher",Tablet,232.11,2
2024-12-09,Yu-Reid,Tablet,488.05,2
2025-04-12,"Hernandez, Thompson and Boyd",Móvil,97.63,2
2025-02-06,"Morton, Medina and Webb",Accesorio,1241.98,1
2024-11-19,"Vargas, Morris and Sanchez",Accesorio,858.16,5
2025-05-21,Keith-Sanchez,Móvil,1450.77,4
2024-11-30,"Barnett, Rogers and Snyder",Accesorio,829.32,2
2024-10-09,Lewis-Salinas,Portátil,1790.69,1
2024-10-15,"Haynes, Hill and Smith",Accesorio,476.74,5
2025-05-25,Allen Group,Accesorio,147.93,2
2024-12-08,Vaughn Ltd,Portátil,940.1,4
2025-02-28,Mcguire-Davis,Tablet,1902.58,4
2024-09-02,"Sanchez, Beck and Wood",Accesorio,1669.61,5
2025-01-01,Coleman-Reese,Accesorio,1799.56,4
2024-10-12,"Chavez, Parker and Hall",Accesorio,555.42,2
2025-03-03,Wilson-Herrera,Tablet,1543.34,5
2025-03-18,Lee Ltd,Accesorio,1272.16,3
2024-12-07,"Lawrence, Wolf and Carlson",Accesorio,201.09,3
2025-06-06,Phillips LLC,Móvil,579.84,3
2024-08-17,Erickson and Sons,Portátil,319.83,2
2024-09-21,Tran Ltd,Accesorio,1403.2,2
2025-05-24,"Oneill, Henry and Salas",Portátil,858.99,3
2025-01-09,Mendoza-Peterson,Accesorio,860.76,2
2025-06-01,Everett-Woods,Accesorio,809.48,5
2025-04-09,Vasquez-Ray,Portátil,1720.63,5
2025-02-19,Hernandez PLC,Accesorio,980.11,3
2025-05-26,Mcknight Inc,Tablet,1519.28,4
2025-01-03,Obrien-Gibbs,Móvil,1002.05,3
2024-09-03,"James, Kerr and Evans",Accesorio,997.0,4
2025-01-14,Torres-Oliver,Tablet,1354.3,4
2025-01-22,"Garcia, Farmer and Garrett",Móvil,1688.99,2
2024-09-17,Moore and Sons,Portátil,1818.51,5
2025-01-01,Smith Group,Portátil,213.7,4
2025-02-20,Carter-Hall,Móvil,1740.36,2
2025-02-26,"Heath, Jones and Hall",Portátil,557.3,3
2024-09-17,"Lawrence, Lara and Gonzalez",Móvil,936.66,3
2024-07-25,Holland LLC,Accesorio,592.6,4
2025-04-11,Brown LLC,Tablet,1678.08,4
2025-01-16,"Morse, Gonzales and Harrison",Portátil,1510.6,1
2024-10-02,Bender-Mason,Tablet,487.23,1
2024-12-10,George Group,Portátil,1520.75,2
2025-03-08,"Wright, Davis and Hayden",Móvil,1686.5,5
2025-04-14,"Matthews, Smith and Hubbard",Móvil,515.16,4
2025-04-09,"Williams, Avila and Ruiz",Portátil,1149.74,2
2025-02-06,White-Richards,Accesorio,1413.96,3
2025-01-31,Costa-Harrison,Móvil,1231.49,1
2024-11-09,Santiago-Hodge,Móvil,1931.21,1
2024-10-11,"Simpson, Bates and Morales",Portátil,1861.33,5
2025-03-18,Gibson LLC,Accesorio,823.48,2
2024-09-13,Cordova Group,Portátil,1204.59,2
2025-04-25,Sandoval PLC,Portátil,1409.53,3
2024-11-29,Lopez LLC,Portátil,1602.64,5
2025-01-26,Garrett-Wolf,Portátil,727.05,4
2024-08-26,"Anderson, Roberts and Gilmore",Tablet,184.47,3
2024-12-07,Dudley PLC,Portátil,1706.67,4
2025-04-01,"Moore, Pierce and Tran",Portátil,895.37,3
2024-07-17,Murray Inc,Accesorio,1429.25,4
2025-02-05,Jimenez Ltd,Móvil,1480.9,3
2024-09-27,"Hill, Davenport and Baird",Accesorio,956.5,5
2024-09-10,"Thomas, Lee and Greene",Tablet,678.49,2
2025-03-13,Shields LLC,Portátil,593.91,4
2025-03-22,Morgan-French,Móvil,1513.43,5
2024-09-18,Campbell LLC,Accesorio,705.97,4
2025-04-15,"Duarte, Burns and Hernandez",Tablet,404.59,2
2024-12-27,Cook-Hines,Tablet,1605.77,3
2024-10-29,Kane-Pollard,Tablet,1766.62,3
2024-09-08,Hall-Rowe,Portátil,1057.42,2
2024-06-28,"Kennedy, Mcintyre and James",Portátil,520.64,4
2025-06-09,"Pollard, Simpson and Johnson",Accesorio,1132.59,2
2024-12-13,"Rivera, Garcia and Kirk",Accesorio,1309.51,4
2024-07-19,Smith-Thomas,Accesorio,1596.22,1
2025-04-27,Jones LLC,Tablet,482.11,2
2024-10-14,"Sanders, Miller and Murphy",Tablet,1344.72,3
2025-02-14,"James, Stewart and Higgins",Accesorio,1129.27,3
2025-03-17,"Johnson, Jones and Welch",Accesorio,1993.43,5
2025-05-16,Francis Group,Tablet,736.03,4
2025-06-06,"Padilla, Garcia and Jackson",Tablet,647.91,2
2024-09-30,Williams Inc,Portátil,1456.5,3
2024-09-28,Jordan-Sanchez,Portátil,1498.62,2
2024-11-10,"Sparks, Jackson and Miller",Móvil,471.95,4
2025-04-27,"Vega, Jimenez and Aguilar",Tablet,1462.94,5
2024-09-05,"King, Scott and Smith",Tablet,1962.0,2
2025-04-03,Byrd-Moore,Tablet,493.59,2
2024-11-21,Huerta-Evans,Tablet,77.59,5
2025-05-31,"Wright, Bruce and Gonzalez",Móvil,584.91,1
2024-10-31,Rodriguez-James,Tablet,1409.96,2
2024-10-22,Haney-Phillips,Accesorio,250.05,1
2025-06-05,"Foster, Smith and Grimes",Tablet,965.32,4
2025-03-24,Lozano Ltd,Tablet,409.51,1
2024-12-11,Parsons-Hall,Tablet,1885.07,4
2025-04-02,Fields PLC,Portátil,1653.13,4
2024-09-12,"Saunders, Becker and Taylor",Accesorio,194.46,1
2024-07-18,"Lucas, Parker and Alexander",Móvil,340.94,5
2025-01-11,"Anderson, Browning and Murphy",Tablet,216.1,2
2024-11-12,Anderson PLC,Portátil,1138.24,4
2025-04-29,Schmidt-Mcintyre,Móvil,1562.6,4
2025-04-12,Sloan-Raymond,Accesorio,1821.58,3
2025-06-02,Francis-Morgan,Accesorio,645.49,5
2024-07-25,Taylor and Sons,Portátil,1238.78,1
2025-04-23,"Craig, Sanders and Singleton",Móvil,1269.75,3
2025-01-02,Gibbs Inc,Portátil,356.26,2
2024-09-17,Gibson Ltd,Portátil,355.24,4
2025-03-14,Richards-Carson,Accesorio,1394.27,4
2025-05-23,Leonard Group,Tablet,113.65,3
2024-06-22,"Murphy, Bishop and Holland",Tablet,1420.83,4
2025-01-31,Blankenship-Turner,Portátil,1390.4,3
2024-11-09,Williams Inc,Móvil,879.02,5
2024-10-02,Wilson-Young,Móvil,1312.89,3
2024-12-26,Chavez-Santiago,Móvil,189.25,2
2025-03-11,"Barnes, Newton and Moore",Tablet,1210.34,5
2024-11-11,Bass PLC,Tablet,906.35,4
2024-11-09,Johnson-Wood,Tablet,1414.48,3
2024-11-22,Foley Inc,Accesorio,903.63,5
2025-06-07,Stephens-Levine,Portátil,1784.37,3
2024-10-22,Hill-Donaldson,Tablet,100.44,2
2025-05-26,Davis-Lewis,Portátil,1999.17,3
2025-02-02,Williams LLC,Portátil,1538.06,2
2024-09-10,Buchanan and Sons,Accesorio,1061.98,4
2024-07-08,"Clark, Robinson and Kane",Tablet,403.9,5
2024-10-11,Kramer PLC,Accesorio,1287.83,4
2024-06-14,Huerta PLC,Portátil,966.52,4
2024-09-12,Rodriguez Inc,Tablet,676.06,1
2024-07-31,Tyler-Young,Móvil,693.12,4
2024-10-09,Baker and Sons,Tablet,1342.04,4
2025-03-11,"Wilson, Brown and West",Portátil,936.91,3
2024-10-23,"Rodriguez, Gordon and Dougherty",Tablet,680.38,4
2024-06-28,"Boyd, Ellis and Maynard",Portátil,1332.44,5
2024-07-05,Boone-Simmons,Accesorio,855.83,2
2024-07-22,"Browning, Jones and Miller",Tablet,1264.14,4
2025-01-21,Martinez PLC,Accesorio,1531.98,2
2025-01-30,"Joseph, James and Harper",Tablet,1120.98,3
2024-09-28,"Jacobs, Garcia and Miles",Accesorio,1767.65,4
2025-04-21,"Rich, Arnold and Glenn",Portátil,106.3,5
2024-11-17,Gutierrez Group,Móvil,1434.08,3
2024-11-05,"Davis, Simmons and Ortega",Portátil,1126.89,1
2024-10-27,Mcdaniel Group,Móvil,1984.9,1
2024-07-07,Davis Inc,Accesorio,1896.77,2
2025-03-12,Cain-Hawkins,Accesorio,1868.67,3
2025-01-13,"Hoffman, Santiago and Jenkins",Tablet,860.21,4
2025-04-28,Parrish-Griffith,Accesorio,525.28,5
2025-06-02,"Edwards, Garcia and Romero",Móvil,797.99,5
2024-08-08,Walker-Rodriguez,Móvil,1734.85,3
2025-04-18,Wilson-Ramirez,Accesorio,712.76,5
2024-09-03,Bruce-Villegas,Tablet,1650.07,3
2025-04-08,"Leonard, Hawkins and Lynch",Tablet,1683.08,5
2025-02-08,"Adams, White and Park",Accesorio,1737.26,4
2024-10-04,Bell-White,Accesorio,722.99,5
2024-08-04,"Morales, Thomas and Schultz",Accesorio,937.92,3
2024-06-24,"Moreno, Bennett and Chavez",Móvil,1962.51,2
2024-08-09,Griffith-Frank,Accesorio,505.45,4
2025-01-06,Ware and Sons,Portátil,670.44,4
2024-08-09,"Williams, Miller and Ramos",Accesorio,802.85,2
2024-11-15,"Ramos, Nelson and Fischer",Accesorio,1931.41,2
2024-07-24,Rodriguez-Gregory,Tablet,1745.92,4
2025-01-16,"Estrada, Williams and Foster",Portátil,1075.6,4
2025-01-18,Harris and Sons,Portátil,1458.77,4
2025-03-20,Roberts-Wilson,Móvil,195.92,3
2024-12-12,Thompson-James,Tablet,1265.36,4
2025-02-25,"Hansen, Barnett and Gomez",Portátil,1710.94,5
2024-11-05,"Williams, Smith and Morse",Accesorio,1910.57,4
2025-04-24,"Patterson, Sullivan and Bowman",Portátil,1254.05,2
2024-09-26,Smith-Nguyen,Tablet,1994.98,1
2025-04-02,"Stevens, Norris and Cox",Accesorio,1957.76,1
2024-11-19,Sanchez PLC,Accesorio,374.41,3
2024-11-06,Foster LLC,Portátil,139.68,1
2025-03-12,Cook and Sons,Tablet,749.0,4
2024-07-10,"Wilson, Hicks and Bullock",Móvil,526.18,4
2024-10-18,"Mullen, Brewer and Hernandez",Móvil,381.47,1
2024-07-20,Gonzalez-Morrison,Accesorio,1258.44,2
2025-03-18,"Jones, Bean and Burton",Accesorio,1830.02,2
2024-11-29,"Wolf, Cole and Glass",Móvil,949.24,3
2025-01-05,"Downs, Morris and Maddox",Accesorio,547.89,1
2024-10-06,Jones-Ramos,Accesorio,1807.36,5
2024-10-01,Vargas-Bell,Móvil,194.03,3
2024-07-10,Hayes-Brown,Tablet,1295.93,4
2025-04-13,Newman Inc,Tablet,940.83,3
2025-01-24,"Cruz, Carpenter and Best",Móvil,1998.78,4
2025-03-10,Cole PLC,Portátil,512.55,5
2025-02-06,Jacobs-Mason,Tablet,1170.88,3
2025-05-29,Garcia-Nolan,Portátil,1956.99,4
2024-10-16,"Miller, Lucas and Williams",Tablet,65.79,1
2025-02-26,Warren-Bishop,Accesorio,1674.04,3
2024-10-24,Hughes-Schroeder,Móvil,1233.78,3
2025-02-16,Mccormick Ltd,Móvil,1291.4,5
2024-10-13,Davis-Gregory,Tablet,1371.64,2
2024-09-24,"York, Brandt and Morrison",Portátil,1811.64,1
2024-08-07,Aguilar and Sons,Tablet,1587.79,1
2025-05-14,Ponce-Hale,Tablet,1478.1,1
2024-11-03,"Fletcher, Miller and Hansen",Tablet,687.1,4
2025-02-03,Li-Santiago,Móvil,441.55,5
2025-04-12,"Osborn, Gaines and Davis",Tablet,1085.16,3
2025-02-13,"Cox, Cox and White",Móvil,551.09,4
2024-08-30,Lee-Cooke,Tablet,1505.79,3
2024-08-08,Richard-Garcia,Portátil,963.25,1
2025-03-22,"Stephenson, Johnson and Rogers",Móvil,1520.6,2
2025-03-20,Harper and Sons,Accesorio,1936.18,5
2024-08-11,"Wise, Lamb and Martin",Tablet,226.09,4
2024-11-20,Diaz-Ball,Portátil,565.69,1
2025-06-02,"Mitchell, Goodman and Cole",Accesorio,768.74,3
2024-12-25,Sheppard-Mueller,Accesorio,1653.71,3
2025-05-09,Richardson PLC,Portátil,1365.93,4
2025-06-08,Hammond-Strickland,Portátil,1258.12,5
2024-12-14,Burch-Montoya,Tablet,1834.75,2
2025-04-02,Salas Inc,Portátil,1289.04,4
2025-02-02,Spencer-Garcia,Tablet,1316.02,1
2025-04-18,Mitchell and Sons,Móvil,138.43,1
2024-09-20,"Hernandez, Kim and Potts",Tablet,1992.06,1
2024-09-02,Wilkerson-Arias,Portátil,507.86,5
2024-11-11,Shaw-Young,Móvil,807.86,3
2025-06-11,Walker-Flores,Accesorio,1195.31,2
2024-07-19,"Santos, Moody and Taylor",Accesorio,1327.1,4
2024-09-25,Horton-Taylor,Accesorio,1881.15,3
2025-02-26,Gilbert-Bullock,Portátil,1396.05,2
2024-06-19,Conley PLC,Accesorio,917.16,2
2025-05-23,"Rose, Rodriguez and Roberts",Tablet,243.74,3
2024-10-01,Allen Ltd,Tablet,168.07,3
2025-03-30,Brown-Copeland,Móvil,1938.0,4
2024-12-12,"Smith, Robertson and Allen",Portátil,1342.4,5
2024-08-04,Smith-Gomez,Portátil,148.63,3
2025-01-07,Beck Inc,Móvil,1978.2,5
2024-12-21,Jones-Fox,Móvil,183.79,5
2024-12-15,"Spencer, Myers and Harrison",Móvil,1193.45,2
2025-01-31,King-Smith,Tablet,1560.02,5
2025-03-28,Allen-Sandoval,Portátil,590.69,2
2024-07-20,"Moss, Cook and Williams",Móvil,1103.42,2
2024-12-29,"Thompson, Maxwell and Marshall",Portátil,1339.06,1
2025-02-22,"White, Taylor and Baldwin",Móvil,78.98,2
2025-05-24,Carter Inc,Tablet,80.77,3
2025-03-29,Stewart LLC,Portátil,297.18,4
2024-12-18,"Kennedy, Johnson and Lucas",Portátil,1504.05,4
2024-09-25,Glenn LLC,Accesorio,1567.13,5
2024-09-20,Kim-Ross,Portátil,931.41,2
2024-11-20,Morgan-Lopez,Portátil,1468.12,5
2025-02-21,Glass-Stone,Tablet,943.18,1
2025-04-02,"Coleman, Jordan and Carney",Portátil,1997.24,4
2024-08-18,Morris-Miller,Accesorio,1387.89,4
2025-02-09,Griffin-Robbins,Accesorio,193.31,1
2024-08-12,Bell-Williams,Tablet,1236.18,1
2025-04-27,Mendez-Graham,Móvil,586.28,5
2025-02-02,Jones Ltd,Tablet,792.76,5
2024-11-08,"Owen, Shelton and Cisneros",Tablet,934.75,5
2024-08-04,"Gregory, Kim and Martinez",Accesorio,243.4,1
2024-09-07,"Diaz, Reyes and Bradley",Móvil,888.64,2
2025-01-20,"Cole, Watson and Wallace",Accesorio,710.92,4
2024-07-11,Moreno Group,Accesorio,861.18,1
2024-10-06,Wright-Wilson,Tablet,882.19,3
2025-03-09,Holmes-Mcintyre,Tablet,1909.51,4
2024-07-26,Padilla-Lewis,Portátil,227.89,1
2025-01-22,"Hendricks, Henry and Martinez",Portátil,892.16,3
2025-04-21,Thompson-Reeves,Móvil,1134.92,5
2025-06-12,"Ponce, Downs and Contreras",Tablet,1356.53,4
2025-02-27,"Daniels, Vance and York",Tablet,1753.53,4
2025-02-28,"Little, Leon and Hicks",Portátil,1938.38,5
2024-07-27,Conner and Sons,Tablet,735.71,5
2025-03-29,Ward PLC,Móvil,351.72,4
2024-10-26,"Anderson, Henson and Jones",Móvil,1702.19,3
2024-11-05,"Higgins, Fox and Hammond",Tablet,274.03,3
2025-04-10,Martinez LLC,Móvil,1624.08,5
2025-02-03,Owens-Holmes,Portátil,1237.54,3
2024-07-29,"Bowman, White and Burch",Portátil,401.81,3
2024-11-18,Guerra PLC,Tablet,734.5,2
2024-08-08,Martin Ltd,Móvil,1154.33,4
2024-09-03,"Jacobson, Singleton and King",Portátil,326.66,1
2025-01-31,"Hill, Weber and Mendez",Portátil,1504.92,2
2024-07-17,"Jackson, David and Moore",Accesorio,868.67,3
2025-02-09,"Winters, Morgan and Bradshaw",Móvil,771.6,3
2024-06-28,Miller Ltd,Portátil,1772.52,2
2025-03-22,Curtis-Wang,Móvil,1521.15,1
2024-11-12,"Johnson, Small and Gardner",Portátil,580.6,4
2025-02-02,Webb-Ballard,Accesorio,1233.8,4
2025-02-18,Chavez-Barker,Tablet,470.36,5
2024-08-09,Washington-Harris,Portátil,723.09,1
2025-01-21,Hensley-Flores,Tablet,1372.52,5
2025-06-09,Hester-Anderson,Accesorio,1077.52,3
2024-10-26,"Rodriguez, Allen and Martinez",Portátil,480.01,5
2024-11-24,Davis LLC,Portátil,64.99,3
2025-05-25,"Barnes, Estes and Barrera",Móvil,1546.33,3
2025-04-06,"Griffith, Lee and Moore",Tablet,689.84,1
2025-06-12,Jimenez-Parker,Accesorio,1506.68,2
2024-06-21,Wagner-Levy,Móvil,791.4,2
2024-08-30,Williams-Campbell,Tablet,190.55,1
2025-01-17,"Chambers, Mitchell and Smith",Accesorio,86.55,1
2024-07-22,Khan Ltd,Tablet,1172.73,5
2024-10-24,Diaz-Morales,Accesorio,1433.52,4
2025-01-07,Cox LLC,Tablet,274.59,1
2024-07-09,"Cole, Pierce and Bryan",Tablet,385.15,5
2025-01-27,"Wilson, Hester and Long",Accesorio,1672.45,3
2025-03-30,Grant-Diaz,Portátil,901.59,1
2024-08-04,"Hicks, Porter and Williams",Móvil,899.57,4
2024-08-02,Brock-Stone,Portátil,821.75,3
2024-08-06,"Taylor, Velazquez and Flores",Tablet,482.07,2
2024-11-03,"Stevenson, Evans and Rogers",Portátil,1045.44,1
2025-04-12,"Burns, Hart and Wells",Móvil,1816.55,3
2024-06-19,Nunez-Whitney,Tablet,1468.39,2
2025-01-12,"Wiggins, Soto and Carlson",Móvil,250.47,3
2024-09-18,"Patton, Parsons and Lane",Móvil,388.32,2
2025-03-04,"Castillo, Warren and Griffith",Portátil,395.43,4
2025-03-23,Hernandez-Becker,Accesorio,1521.17,5
2024-06-24,"Rodriguez, Smith and Edwards",Accesorio,1378.21,5
2024-08-07,"Harris, Shaw and Carr",Tablet,1735.28,3
2024-12-02,"Luna, Thornton and Stone",Móvil,907.54,4
2025-01-04,"Mendoza, Bennett and Frye",Accesorio,1281.2,3
2024-11-28,"Peterson, Gomez and Ingram",Portátil,736.29,1
2025-03-03,"Lara, Baker and Washington",Tablet,950.4,1
2025-05-29,Grant-Walker,Portátil,769.04,3
2025-06-04,Wise-Bush,Portátil,1307.1,1
2025-02-20,Stewart-Bailey,Accesorio,952.29,5
2025-05-20,"Hill, Martinez and Rhodes",Portátil,926.98,5
2024-10-29,Cardenas-Blevins,Móvil,676.98,4
2025-04-03,Williams-Moses,Móvil,1917.56,4
2024-07-11,Douglas-Burgess,Portátil,1631.39,3
2024-08-30,"Nelson, Hoffman and Nelson",Portátil,1033.87,2
2024-07-22,"Matthews, Sanchez and Santiago",Portátil,533.1,4
2024-12-24,"Hall, Garcia and Rivera",Accesorio,1071.93,5
2024-12-02,"Townsend, Smith and Pierce",Móvil,759.6,3
2025-05-19,Delgado-Gilmore,Accesorio,847.1,3
2024-12-04,"Gonzalez, Maynard and Morris",Portátil,1588.99,3
2025-02-04,Pearson and Sons,Portátil,692.9,5
2024-12-25,"Jefferson, Johnson and Dorsey",Accesorio,604.09,5
2024-11-12,Peck Inc,Móvil,700.06,5
2025-06-12,French-Lopez,Móvil,1837.66,3
2025-03-14,Mcdowell-Smith,Accesorio,301.46,1
2025-01-06,Hebert LLC,Tablet,1139.9,3
2024-09-25,"Daniels, Snyder and Mays",Móvil,1356.73,5
