tienda,ventas_totales
Brown-Watson,9314.7
"Simpson, Bates and Morales",9306.65
Allen Ltd,9304.92
"Smith, Nguyen and Guerra",9296.1
Gray Ltd,9295.84
Flores-Contreras,9290.650000000001
Carter LLC,9290.48
Chapman-Stone,9289.3
Krause-Smith,9284.6
Allen-Ryan,9279.85
Walsh PLC,9268.05
"Murphy, Norris and Mcmillan",9262.050000000001
Mcbride Ltd,9256.699999999999
Chapman LLC,9254.8
Adams LLC,9251.900000000001
Jones-Miller,9251.09
Young-Grant,9250.1
Cunningham LLC,9249.39
Palmer-Clarke,9246.3
Duran-Vaughn,9245.599999999999
Williams-Smith,9245.17
Bennett and Sons,9242.949999999999
Tucker Ltd,9242.35
Graham Group,9241.2
Carter-Williams,9238.7
"Sutton, Todd and Taylor",9232.45
Davenport LLC,9228.8
Lambert Group,9221.900000000001
"Mueller, Lindsey and Roberts",9218.95
Duffy-Wilkerson,9211.35
Thompson-Reyes,9208.05
Ward Inc,9204.59
Romero PLC,9203.31
"Johnson, Brown and Chavez",9201.75
Anderson PLC,9200.44
Luna-Harris,9197.1
Carpenter LLC,9193.83
Jordan-Lopez,9193.7
Miller-Ortega,9184.0
"Young, Sanchez and Anderson",9182.35
"Casey, Cooper and Long",9173.2
Williams-Acosta,9169.75
Day PLC,9168.75
"Elliott, Hart and Lopez",9165.800000000001
"Bird, Maynard and Parker",9162.55
"Hall, Schaefer and Kirby",9152.35
Fitzgerald-Wyatt,9148.6
"Anderson, Beck and Anderson",9142.45
Sanchez-Walsh,9140.7
"Manning, Rice and Smith",9131.45
Garza Inc,9122.4
Tate LLC,9118.8
Chaney Inc,9111.1
Thomas-Nguyen,9098.65
"Fitzpatrick, Stark and Stewart",9092.1
Hooper-Christensen,9080.800000000001
Carlson-Morris,9070.599999999999
Newman-Brown,9068.85
Boyd LLC,9061.4
Love Group,9049.97
"Smith, Cohen and Williams",9041.2
"Davis, Arnold and Williams",9037.2
Jones-Ramos,9036.8
Smith-Johnson,9032.65
Smith-Harris,9025.650000000001
Horton and Sons,9022.539999999999
Elliott-Hernandez,9018.300000000001
"Webster, Johnson and Stanley",9017.35
"Neal, Nelson and Johnson",9012.75
Burgess-Singh,9008.2
Stokes-Walker,8989.48
Shelton Inc,8989.1
Hebert LLC,8988.9
Watts-Blevins,8985.800000000001
Lowe-Russell,8984.349999999999
"Ortiz, Hicks and Calderon",8981.3
Patton Ltd,8975.33
"Mitchell, Guzman and Barnes",8970.800000000001
James-Johnson,8967.48
Watts Group,8967.24
Bennett-Davila,8962.8
Christian-Knight,8962.45
Molina-Gray,8959.400000000001
Pierce Inc,8958.55
Pearson-Charles,8956.25
Davis-Lewis,8955.69
Malone LLC,8954.41
Brady and Sons,8945.25
Shaffer-Huang,8942.949999999999
Ross-Thomas,8937.2
Campbell-Erickson,8929.5
"Guzman, Mcclain and Medina",8926.8
Wright Group,8924.45
"White, Saunders and Johnson",8917.7
Shelton-Morris,8903.9
Harris Ltd,8896.41
Kelly Ltd,8895.55
Gross-Goodwin,8892.5
Carlson-Sawyer,8891.95
Zimmerman PLC,8890.75
Nichols-Stewart,8876.8
George and Sons,8865.14
Murphy PLC,8865.05
Foster and Sons,8857.48
Moon-Shaw,8854.9
King-Smith,8845.84
Guzman-Fields,8838.75
"Lewis, Carter and Lee",8831.65
"Sellers, Strong and Gomez",8829.400000000001
Garza Ltd,8828.04
Savage LLC,8818.38
Hernandez Group,8814.99
Solis Ltd,8813.5
"Vasquez, Kennedy and Williams",8812.25
Downs Inc,8808.099999999999
Hughes-Collier,8799.05
Lucas Group,8797.9
"Ross, Fry and Fuller",8797.25
Farrell LLC,8794.8
"Young, Norris and Hart",8792.65
Miller-Myers,8792.1
Johnson-Schmidt,8787.8
White and Sons,8786.43
"Miller, Jones and Rogers",8778.85
"Simon, Allen and Watson",8778.65
"Ramos, Frazier and Love",8772.65
Flores-Estrada,8771.0
Brown-Ingram,8760.3
Duran and Sons,8752.4
"Maldonado, Villarreal and Williamson",8752.15
Powell-Bridges,8752.050000000001
Russell PLC,8742.37
"Hill, King and Mosley",8732.75
Green-Simpson,8731.699999999999
Stevenson PLC,8723.35
Lloyd PLC,8719.74
"Hurley, Adams and Little",8709.7
"Day, Donaldson and Nunez",8709.199999999999
"Paul, Jackson and Fitzgerald",8702.8
Cameron Inc,8700.32
"Potter, Adams and Jacobs",8697.4
Davis-Ross,8697.35
Owens-Casey,8696.95
Bishop-Mercer,8689.1
Griffin Inc,8684.63
"Garcia, Booth and Bass",8679.7
Price Group,8678.15
Silva Group,8675.029999999999
Kidd PLC,8672.8
Ramos and Sons,8653.1
"Morse, Howard and Davis",8645.7
Stanley-Wright,8645.2
Williamson-Medina,8635.1
Wilkerson Ltd,8634.2
Wells Ltd,8633.300000000001
Boyd and Sons,8633.0
Parker PLC,8631.32
Crawford-Gregory,8630.95
Carpenter and Sons,8619.09
Vasquez-Ray,8603.150000000001
Walker-Miller,8602.1
"Johnson, Garcia and Mejia",8589.349999999999
"Weber, Montgomery and Ramos",8574.85
Roberts-Cochran,8573.300000000001
"Welch, Adams and Smith",8560.5
"Hansen, Barnett and Gomez",8554.7
"Young, White and Rose",8551.05
"Vasquez, Smith and Vincent",8544.9
Smith-Nguyen,8535.810000000001
Sexton-Evans,8531.849999999999
"Moore, Martinez and Underwood",8528.85
"Foley, Neal and Jones",8524.0
"Montgomery, Hensley and Ray",8513.05
Stanley-Bates,8493.8
Franklin-Hart,8492.85
Garcia Ltd,8486.9
"White, Roberts and Griffin",8484.25
Moore Ltd,8476.71
"Nguyen, Higgins and Deleon",8476.05
Hall-Long,8473.35
Ramirez Inc,8470.0
Henderson-Moore,8468.300000000001
Hill-Harris,8465.4
"Mccann, Taylor and Flores",8464.65
Patterson LLC,8463.9
"Simmons, Larson and Nelson",8462.6
"Johnson, Carey and Schwartz",8460.599999999999
"Parrish, Green and Glover",8460.35
Mckinney Ltd,8456.8
Matthews-Carter,8455.0
"Atkinson, Rocha and Diaz",8454.3
Evans-Pearson,8453.9
"Morris, Moreno and Ford",8447.5
Douglas LLC,8447.36
Parker Ltd,8439.76
"Phillips, Tran and Jacobs",8438.8
Mcdaniel Group,8436.5
"Wright, Davis and Hayden",8432.5
"Hogan, Higgins and Martinez",8430.55
Knight-Hopkins,8430.25
Ray-Clay,8422.65
Morgan PLC,8420.23
"Leonard, Hawkins and Lynch",8415.4
"Lewis, Lang and Johnson",8414.85
Lee LLC,8405.01
"Thomas, Booker and Simpson",8404.15
Flores Ltd,8398.78
Ramirez LLC,8398.58
Frazier-Hernandez,8390.75
Gibbs-Harris,8388.95
"Flynn, Garcia and Gilmore",8386.0
Wood-Williams,8381.4
Davis-Mccall,8374.95
"Jackson, Gutierrez and Morgan",8365.449999999999
Howard Inc,8359.88
"Lynch, Lawson and Oconnell",8357.85
Sexton and Sons,8353.95
Evans Inc,8353.45
"Sanchez, Beck and Wood",8348.05
"Moreno, Davis and Chavez",8347.4
"Duran, Benton and Smith",8347.35
Frost Inc,8346.05
"Reyes, Jensen and Williams",8345.85
Obrien Ltd,8329.08
Porter LLC,8325.08
Mccarthy-Roberts,8322.5
"Mclaughlin, Kelley and Johnson",8315.55
"Vega, Reed and Pena",8310.599999999999
"White, Porter and Clements",8308.5
Lambert-Burns,8296.8
"Terry, Martin and Ellis",8296.0
Turner PLC,8291.88
Dean LLC,8287.55
"Johnson, Kelley and Stephens",8283.25
"Johnston, Lopez and Martinez",8274.400000000001
Edwards Inc,8271.630000000001
Fisher-Potter,8266.849999999999
Brown-Marshall,8265.85
Roberts Group,8261.27
Goodman-Wilson,8260.95
Gonzalez Ltd,8259.59
Smith-Bauer,8254.9
"Herrera, Martin and Mendoza",8253.45
"Williams, Robinson and Garrison",8250.35
Baker PLC,8250.27
Ballard LLC,8232.65
Houston Inc,8220.599999999999
"Curtis, Ryan and Stafford",8220.05
"Jones, Hardy and Rodriguez",8219.65
"Rosales, Hodge and Roberts",8216.15
Stark Inc,8214.7
Sherman-Brady,8213.2
Brewer Group,8210.36
Baker-Smith,8208.76
"Adkins, Wright and Murray",8203.9
Combs-Marquez,8196.900000000001
"Johnson, Bender and Brown",8193.25
Rodriguez-Murillo,8191.549999999999
"Brooks, Wells and Jackson",8189.650000000001
"Riggs, Johnson and Collins",8186.45
Taylor-Macias,8183.65
Hubbard PLC,8183.3
"Gallagher, Wong and Pratt",8173.25
Adams PLC,8173.0199999999995
Bailey and Sons,8158.74
Howard-Galvan,8149.700000000001
"Lopez, Thomas and Simmons",8143.150000000001
Mack-Smith,8136.25
"Hanson, Stone and Moreno",8132.150000000001
Kim PLC,8128.200000000001
"Galvan, Burns and Mcpherson",8127.799999999999
Tapia PLC,8121.599999999999
Thompson Inc,8113.96
Gomez Inc,8107.12
"Benton, Williams and Dorsey",8099.349999999999
Mills Ltd,8093.55
Clark LLC,8086.280000000001
"Williams, Martinez and Cook",8076.599999999999
"Olson, Thomas and Nelson",8063.0
Lang and Sons,8062.74
Rodriguez-Cole,8048.150000000001
Mcdowell-Scott,8045.15
Scott-David,8040.5
"Armstrong, Daniel and Ray",8034.25
"Watson, Pierce and Sims",8023.3
Turner-Williams,8020.08
Levy PLC,8004.5
"Taylor, Williams and Ford",7995.64
"Cruz, Carpenter and Best",7995.12
Reyes Inc,7991.04
"Coleman, Jordan and Carney",7988.96
Brown-Kim,7988.55
Fleming Inc,7987.17
Nelson-Olson,7986.08
"Jackson, Werner and Carter",7985.36
Spencer-Morales,7984.44
Martinez-Freeman,7982.3
Williams-Lucero,7979.6
"Kim, Lopez and Johnson",7978.400000000001
"Elliott, Bishop and Martin",7977.96
Crosby and Sons,7974.8
Moreno-Greene,7970.56
Perez Group,7968.94
"Wheeler, Johnson and Lloyd",7963.85
Gaines-Adams,7962.200000000001
Simpson Inc,7960.0
Christensen and Sons,7951.28
Moreno-Smith,7949.75
Lane PLC,7948.5
Goodman Ltd,7947.75
"Reed, Franco and Wiley",7944.28
"Clark, Turner and Coleman",7941.12
"Carroll, Ramirez and Rodriguez",7936.04
Gallegos-Parsons,7932.8
"Taylor, Compton and Wilson",7928.44
Barber-Walker,7927.48
Morales and Sons,7924.049999999999
"Caldwell, Patel and Townsend",7921.35
Castillo-Flores,7919.52
Henson PLC,7918.85
Webster-Bell,7917.25
"Clark, Smith and Rogers",7916.45
Morales-Jones,7913.55
Maxwell Inc,7911.1
"Dean, Lopez and Smith",7911.0
Williams PLC,7910.97
"Ingram, Wells and Lane",7910.549999999999
Koch Inc,7910.32
Fletcher-Clark,7909.650000000001
Page-Hodges,7907.6
"Walton, Reilly and Gomez",7906.3
Duarte-Manning,7903.6
"Hernandez, Sanchez and Terry",7902.9
Butler-Parrish,7900.08
"Gardner, Thompson and Brock",7897.849999999999
"Weaver, Kaufman and Flores",7890.599999999999
"Phillips, Hunt and Copeland",7888.96
Glover-Long,7883.08
Reed-Wallace,7882.74
"Kline, Castro and Wiley",7882.6
Douglas-Gonzales,7878.099999999999
"Smith, Miller and Richardson",7876.04
Conley-Fox,7871.1
"Olson, Wheeler and Schneider",7861.16
Webster-Guzman,7858.150000000001
"Brooks, Morgan and Gregory",7855.04
Singh-Blevins,7853.88
Gomez-Smith,7852.64
Nielsen LLC,7850.4
Downs-Mendoza,7848.5
"Miller, Aguirre and Scott",7845.85
"Cruz, Roberts and Young",7844.400000000001
"Adams, Hernandez and Vaughn",7842.65
Roy Group,7841.2
Murphy-Thornton,7836.32
Gray LLC,7835.72
Glenn LLC,7835.650000000001
Bishop Group,7833.9400000000005
Martin-Ross,7828.55
Garcia-Nolan,7827.96
Fox PLC,7827.120000000001
"Thompson, Cain and Green",7822.0
Skinner-Downs,7817.0
"Pierce, Strickland and Brown",7815.45
Brooks-Wright,7809.85
"Scott, Jennings and Rice",7809.75
"Tapia, Jackson and Wright",7808.32
"Walker, Davis and Farley",7805.25
Reynolds Group,7803.299999999999
"Newton, Doyle and Stewart",7800.32
"Gonzalez, Johnston and Banks",7800.32
"Atkins, Olson and Scott",7800.05
"Sanchez, Howell and Glenn",7797.55
"Williams, Mcmillan and Reynolds",7796.36
Chambers-Gomez,7794.72
Armstrong Ltd,7794.04
Delacruz Group,7790.32
Francis and Sons,7781.56
Brown-Dickerson,7780.349999999999
Orozco-Cole,7779.0
Bowen-Ward,7774.36
Mcfarland-Santos,7773.65
"Ortiz, Brown and Wells",7772.44
"Conrad, Johnson and Coleman",7771.72
Newman Ltd,7771.4
"Johnson, Hickman and Pham",7764.08
Stewart Group,7763.8
Ortiz-Rodgers,7760.650000000001
Davies PLC,7759.72
"Cooper, White and Coleman",7759.0
Smith-Mccann,7758.450000000001
"Baker, Sutton and Chambers",7756.96
Buchanan PLC,7755.05
Brown-Copeland,7752.0
Ward-Davis,7749.349999999999
Burgess PLC,7742.799999999999
"Anderson, Brown and Green",7737.45
Fisher-Eaton,7732.6
Dunn-Taylor,7731.88
"Lowery, Cruz and Davis",7729.0
"Green, Sanchez and Reed",7726.7
Cardenas-Clark,7725.700000000001
"Barron, Church and Gutierrez",7718.16
Wilson-Herrera,7716.7
Ramos PLC,7715.4400000000005
Jackson Inc,7706.3
Russell-Goodwin,7705.48
Marshall PLC,7704.68
Walker-Cannon,7703.6
Reilly-Moore,7701.4
Fuller LLC,7700.88
Garcia-Keller,7700.599999999999
Wilson-Caldwell,7692.7
"Holland, Jordan and Robinson",7690.88
Vance-Kelley,7689.299999999999
"Weeks, Rhodes and Mills",7687.7
"Mcfarland, Goodwin and Aguirre",7684.049999999999
King and Sons,7680.64
Mills PLC,7679.72
Campos-Fisher,7679.0
"Ward, Miller and English",7671.16
Thompson-Pratt,7671.0
Williams-Moses,7670.24
Reed-Carter,7667.6
Robinson-Turner,7667.55
"Miller, Brown and Gordon",7664.049999999999
Perez Inc,7659.64
Ruiz Inc,7658.799999999999
"Clark, Hall and Matthews",7658.24
Riggs Ltd,7655.72
Moore-Ramirez,7649.55
Stein Ltd,7648.56
Olson-Cummings,7646.04
Holland LLC,7645.16
Martinez-Sherman,7644.8
"Williams, Smith and Morse",7642.28
Ruiz Ltd,7641.74
"Hampton, Adams and Davis",7638.24
Holmes-Mcintyre,7638.04
"Watson, Roberts and Hood",7637.95
Smith-Beck,7635.68
Green-Dawson,7633.44
Lane LLC,7632.47
Williams-Zamora,7630.8
Curtis-Coleman,7629.88
"Glass, Norton and Brooks",7628.5
"Mullen, Greene and Elliott",7626.36
"Adams, House and Johnston",7620.599999999999
"Grant, Montgomery and Buchanan",7612.45
"Clark, Carter and Pugh",7611.05
Meyer-Robinson,7611.04
Mcguire-Davis,7610.32
Hernandez-Becker,7605.85
"Williams, Campos and Cummings",7603.16
"Mercado, Jimenez and Roberts",7601.0
Greene-Manning,7600.04
Daniels-Sloan,7594.95
"Brown, Cervantes and Reynolds",7594.5
Lee-Riley,7593.75
"Wood, Donaldson and Hansen",7590.2
"Moon, Fleming and Fischer",7587.8
"Miller, Schneider and Price",7582.8
"Perez, Rios and Clark",7581.16
"Fletcher, Berger and Hayes",7573.76
"Perez, Johnson and Mitchell",7573.68
"Wilson, Welch and Daniels",7570.04
"Stokes, Barnes and Davis",7568.3
Montgomery-Hansen,7567.95
Morgan-French,7567.150000000001
Knight-Charles,7564.400000000001
Andrews LLC,7563.75
Quinn and Sons,7561.8
"Beck, Torres and Roberts",7561.16
Peterson-Miller,7558.59
Matthews-Jackson,7558.44
Malone-Peterson,7556.15
Salinas PLC,7546.15
Pierce-Williams,7543.5
"Robinson, Beltran and Gross",7542.95
Gates PLC,7541.05
"Larson, Klein and Morales",7541.0
Parsons-Hall,7540.28
Valdez Inc,7540.1
Miller-Harrison,7539.85
"Guerra, Lopez and Smith",7533.52
Pacheco Group,7532.950000000001
"Moss, Harrison and Gonzales",7532.92
Gibson-Escobar,7530.85
Turner-Mayer,7524.55
Garcia-Martin,7518.0
"Barton, Mccoy and Ibarra",7517.9
Pearson Inc,7515.349999999999
"Koch, Obrien and Snow",7510.36
Frank-Chapman,7509.56
Mullins-Chung,7507.84
Cooper Group,7504.870000000001
"Alvarez, Dominguez and Costa",7504.28
Flores LLC,7500.91
Hamilton-Stewart,7497.36
Andrews-Davis,7497.2
"Taylor, Atkins and Chandler",7493.32
"Hill, Jones and Fernandez",7492.72
"Hoffman, Sandoval and Banks",7492.24
"Guzman, Lewis and Watson",7491.2
"Flores, Alexander and Wilson",7488.5
Lyons-Gordon,7487.76
Hill-Robinson,7487.04
Davis-Crane,7477.0
Mcpherson and Sons,7474.2
Castillo Group,7473.36
Lynch PLC,7470.6
"Pena, Mueller and Mckay",7469.6
Herring-Hubbard,7468.68
Garcia Group,7468.55
"Rodriguez, James and Frank",7468.450000000001
"Cortez, Wade and Willis",7465.1
Chen-Martinez,7460.85
Ruiz Group,7457.860000000001
Harris LLC,7455.2
"Porter, Patel and Jackson",7454.12
Moore Inc,7449.679999999999
Buckley-Hill,7448.24
Johnson-Li,7437.52
Daniel-Webb,7436.88
Daniel Inc,7435.92
"Morgan, Moore and Murillo",7433.150000000001
Terry-Smith,7431.4
Russell and Sons,7424.59
Morris Inc,7421.4
Everett PLC,7420.549999999999
Peters-Cox,7418.6
Morrow-Miller,7417.32
"Norris, Harper and Bradley",7413.5
"Wilson, Graham and Anderson",7412.8
Wallace and Sons,7410.75
"Brown, Burnett and Padilla",7406.04
Marsh-Thompson,7405.68
Tanner-Moreno,7405.349999999999
"Hall, Murphy and Huang",7404.6
Colon Inc,7403.33
Phillips-Mckenzie,7403.04
Nelson-Campbell,7402.88
Mcknight Inc,7401.33
Vaughn-Nelson,7401.05
Marquez-Nunez,7397.36
"Powell, Sims and Goodman",7394.2
Robertson-Webb,7392.92
Trevino-Taylor,7391.5
Osborn LLC,7389.2
Myers LLC,7388.71
Dennis Inc,7388.11
"Mays, Allen and Alvarez",7387.849999999999
"Garrison, Williams and Garcia",7386.849999999999
"Spears, Bartlett and Roberts",7386.56
"Jones, Miller and Brady",7385.6
Martin PLC,7384.12
"Jacobs, Gonzalez and Walker",7383.65
Horn-Lee,7382.4
